sample_id,content,label,has_url,has_phone_number,sender_type,category,obfuscation_level,data_origin,teacher_model,teacher_version,teacher_logit_0,teacher_logit_1,teacher_p0_t1,teacher_p1_t1,teacher_p0_t2,teacher_p1_t2,teacher_temperature,teacher_pred,teacher_confidence,teacher_agree_label,distill_weight,split,disagreement_type,confidence_bucket
ViSmish_05180,BV Nhi Trung uong: Nhac lich tai kham cho be Le Minh Quan vao 8h30 ngay mai. Neu khong den duoc vui long goi 02462738532 nhe.,0,0,1,brandname,Dịch vụ y tế,NONE,synthetic,vinai/phobert-base,/kaggle/working/distillation_teacher_phobert_base/model,-2.8876486,2.8136191,0.0033305965,0.9966695,0.054648563,0.9453514,2.0,1,0.9966695,False,0.3,test_mixed,false_positive,>=0.99
ViSmish_02940,"Wintel: Goi cuoc WIN60P cua ban se het han trong 24h toi. De duy tri ket noi Internet khong gioi han, vui long dam bao so du tai khoan toi thieu 60.000d. Hotline 19002155.",0,0,1,brandname,Viễn thông,NONE,synthetic,vinai/phobert-base,/kaggle/working/distillation_teacher_phobert_base/model,-1.1093205,1.1653875,0.09323939,0.9067606,0.24280651,0.75719345,2.0,1,0.9067606,False,0.3,test_mixed,false_positive,0.90-0.95
ViSmish_09109,Tin nhắn mới: M88plus tuyển đối tác hưởng hoa hồng khủng.,1,1,1,shortcode,Cờ bạc / Betting,Level 0 - Formal,paraphrased,vinai/phobert-base,/kaggle/working/distillation_teacher_phobert_base/model,1.0133783,-0.6709895,0.8434821,0.15651797,0.69892496,0.30107504,2.0,0,0.8434821,False,0.3,test_mixed,false_negative,0.80-0.90
ViSmish_09292,"Alo anh Nguyen Duy Nam, em ben BV Cho Ray. Lich kham mat cua anh ngay mai BS ban nen doi sang thu 6 nhe. Anh LH 02838554137 xac nhan giup em.",0,0,1,personal_number,Dịch vụ y tế,NONE,synthetic,vinai/phobert-base,/kaggle/working/distillation_teacher_phobert_base/model,-0.5568626,0.64894456,0.23044376,0.7695563,0.35367966,0.6463203,2.0,1,0.7695563,False,0.3,test_mixed,false_positive,<0.80
ViSmish_02114,Bạn đã yêu cầu Google khôi phục quyền truy cập cho duyj4f2004@gmail.com? Nếu không phải thì hãy kiểm tra email để tìm hiểu cách DỪNG yêu cầu này.,0,1,0,brandname,Khác,NONE,real,vinai/phobert-base,/kaggle/working/distillation_teacher_phobert_base/model,-3.7138999,3.75882,0.00056805724,0.9994319,0.023285579,0.9767145,2.0,1,0.9994319,False,0.3,test_real,false_positive,>=0.99
ViSmish_08221,Chuc mung ban da nhan duoc 1 chiec dien thoai E770i tu chuong trinh Quay So Ngau Nhien cua Mobifone. SoanTin: XU E770i31 va gui 4 lan den 6769 de xem chi tiet,1,0,0,shortcode,Khác,Level 0 - Formal,real,vinai/phobert-base,/kaggle/working/distillation_teacher_phobert_base/model,3.7390308,-3.711084,0.999419,0.00058103714,0.9764559,0.02354403,2.0,0,0.999419,False,0.3,test_real,false_negative,>=0.99
ViSmish_01392,"[CANH CAO LAN CUOI]:Chung toi da nhac nho, canh cao nhieu lan nhung thai do cua O/b va nhung nguoi lien quan van bat hop tac.Truoc 17g 15/2 khong tt,Phong AN NINH ĐIỀU TRA se vao cuoc dieu tra toan bo thong tin, hinh anh cua O/B va nhung nguoi co lien quan se phai chiu trach nhiem hinh su. LH 84867256447 gap.",1,0,0,personal_number,Đòi nợ / Đe dọa,Level 2 - Leet nặng,real,vinai/phobert-base,/kaggle/working/distillation_teacher_phobert_base/model,3.5429478,-3.4398065,0.99907315,0.00092688465,0.9704414,0.029558577,2.0,0,0.99907315,False,0.3,test_real,false_negative,>=0.99
ViSmish_07650,"[ĐH NGOẠI THƯƠNG] Chúc mừng em đã đủ điều kiện xét tuyển Chương trình ĐTQT 2+2, thí sinh có thể lựa chọn 1 trong 3 chương trình học: Kinh doanh Thương mại Quốc tế, Báo chí & Truyền thông, Quản trị Khách sạn & Nhà hàng. Chi tiết xem tại: http://cs2.ftu.edu.vn/category/tuyen-sinh/chuong-trinh-dao-tao-quoc-te/chuong-trinh-cu-nhan-iccc/ Để lại email để nhận hướng dẫn hồ sơ chi tiết. LH SĐT/ZALO: 0906 888 948 (Ban tuyển sinh)",0,1,1,personal_number,Khác,NONE,real,vinai/phobert-base,/kaggle/working/distillation_teacher_phobert_base/model,-3.4128387,3.4886239,0.001005301,0.99899465,0.03074706,0.96925294,2.0,1,0.99899465,False,0.3,test_real,false_positive,>=0.99
ViSmish_05065,DH Kinh Te Tp.HCM tuyen sinh Cu nhan Tai Chinh Ung Dung do DH Rennes 1 cap bang. XETTUYEN DOC LAP. Hotline: 0938711627 https://go.ueh.edu.vn/rennes/0389048463,0,1,1,brandname,Khác,NONE,real,vinai/phobert-base,/kaggle/working/distillation_teacher_phobert_base/model,-3.387706,3.446809,0.0010748325,0.99892515,0.031760454,0.9682396,2.0,1,0.99892515,False,0.3,test_real,false_positive,>=0.99
ViSmish_05732,Western Union TB: Vietcombank: 0071000986547. Trần Thị Lan. Ref +19.56 USD. Nhận 500.000 VND. Ngay 02/02/2025. Mgd: 1057425286. Nd: COC TIEN HANG. Quý khách nhận tiền VND vào website: https://sites.google.com/view/chuyennhantiennhanhquocte24h7,1,1,0,personal_number,Giả mạo ngân hàng,Level 2 - Leet nặng,real,vinai/phobert-base,/kaggle/working/distillation_teacher_phobert_base/model,3.2487416,-3.092717,0.9982414,0.0017586332,0.95971775,0.040282216,2.0,0,0.9982414,False,0.3,test_real,false_negative,>=0.99
